yolo_input.conv.weights                            backbone.conv0.conv.weight                        
stage.2.6.0.bn.offset                              backbone.stage.2.stage.2.6.conv1.batch_norm.bias  
stage.2.6.0.bn.mean                                backbone.stage.2.stage.2.6.conv1.batch_norm._mean 
stage.2.6.0.bn.var                                 backbone.stage.2.stage.2.6.conv1.batch_norm._variance
stage.2.6.1.conv.weights                           backbone.stage.2.stage.2.6.conv2.conv.weight      
stage.2.6.1.bn.scale                               backbone.stage.2.stage.2.6.conv2.batch_norm.weight
stage.2.6.1.bn.offset                              backbone.stage.2.stage.2.6.conv2.batch_norm.bias  
stage.2.6.1.bn.mean                                backbone.stage.2.stage.2.6.conv2.batch_norm._mean 
stage.2.6.1.bn.var                                 backbone.stage.2.stage.2.6.conv2.batch_norm._variance
stage.2.7.0.conv.weights                           backbone.stage.2.stage.2.7.conv1.conv.weight      
stage.2.7.0.bn.scale                               backbone.stage.2.stage.2.7.conv1.batch_norm.weight
stage.2.7.0.bn.offset                              backbone.stage.2.stage.2.7.conv1.batch_norm.bias  
stage.2.7.0.bn.mean                                backbone.stage.2.stage.2.7.conv1.batch_norm._mean 
stage.2.7.0.bn.var                                 backbone.stage.2.stage.2.7.conv1.batch_norm._variance
stage.2.7.1.conv.weights                           backbone.stage.2.stage.2.7.conv2.conv.weight      
stage.2.7.1.bn.scale                               backbone.stage.2.stage.2.7.conv2.batch_norm.weight
stage.2.7.1.bn.offset                              backbone.stage.2.stage.2.7.conv2.batch_norm.bias  
stage.2.7.1.bn.mean                                backbone.stage.2.stage.2.7.conv2.batch_norm._mean 
stage.2.7.1.bn.var                                 backbone.stage.2.stage.2.7.conv2.batch_norm._variance
stage.2.downsample.conv.weights                    backbone.stage.2.downsample.conv_bn_layer.conv.weight
stage.2.downsample.bn.scale                        backbone.stage.2.downsample.conv_bn_layer.batch_norm.weight
stage.2.downsample.bn.offset                       backbone.stage.2.downsample.conv_bn_layer.batch_norm.bias
stage.2.downsample.bn.mean                         backbone.stage.2.downsample.conv_bn_layer.batch_norm._mean
stage.2.downsample.bn.var                          backbone.stage.2.downsample.conv_bn_layer.batch_norm._variance
stage.3.0.0.conv.weights                           backbone.stage.3.basicblock0.conv1.conv.weight    
stage.3.0.0.bn.scale                               backbone.stage.3.basicblock0.conv1.batch_norm.weight
stage.3.0.0.bn.offset                              backbone.stage.3.basicblock0.conv1.batch_norm.bias
stage.3.0.0.bn.mean                                backbone.stage.3.basicblock0.conv1.batch_norm._mean
stage.3.0.0.bn.var                                 backbone.stage.3.basicblock0.conv1.batch_norm._variance
stage.3.0.1.conv.weights                           backbone.stage.3.basicblock0.conv2.conv.weight    
stage.3.0.1.bn.scale                               backbone.stage.3.basicblock0.conv2.batch_norm.weight
stage.3.0.1.bn.offset                              backbone.stage.3.basicblock0.conv2.batch_norm.bias
stage.3.0.1.bn.mean                                backbone.stage.3.basicblock0.conv2.batch_norm._mean
stage.3.0.1.bn.var                                 backbone.stage.3.basicblock0.conv2.batch_norm._variance
stage.3.1.0.conv.weights                           backbone.stage.3.stage.3.1.conv1.conv.weight      
stage.3.1.0.bn.scale                               backbone.stage.3.stage.3.1.conv1.batch_norm.weight
stage.3.1.0.bn.offset                              backbone.stage.3.stage.3.1.conv1.batch_norm.bias  
stage.3.1.0.bn.mean                                backbone.stage.3.stage.3.1.conv1.batch_norm._mean 
stage.3.1.0.bn.var                                 backbone.stage.3.stage.3.1.conv1.batch_norm._variance
stage.3.1.1.conv.weights                           backbone.stage.3.stage.3.1.conv2.conv.weight      
stage.3.1.1.bn.scale                               backbone.stage.3.stage.3.1.conv2.batch_norm.weight
stage.3.1.1.bn.offset                              backbone.stage.3.stage.3.1.conv2.batch_norm.bias  
stage.3.1.1.bn.mean                                backbone.stage.3.stage.3.1.conv2.batch_norm._mean 
stage.3.1.1.bn.var                                 backbone.stage.3.stage.3.1.conv2.batch_norm._variance
stage.3.2.0.conv.weights                           backbone.stage.3.stage.3.2.conv1.conv.weight      
stage.3.2.0.bn.scale                               backbone.stage.3.stage.3.2.conv1.batch_norm.weight
stage.3.2.0.bn.offset                              backbone.stage.3.stage.3.2.conv1.batch_norm.bias  
stage.3.2.0.bn.mean                                backbone.stage.3.stage.3.2.conv1.batch_norm._mean 
stage.3.2.0.bn.var                                 backbone.stage.3.stage.3.2.conv1.batch_norm._variance
stage.3.2.1.conv.weights                           backbone.stage.3.stage.3.2.conv2.conv.weight      
stage.3.2.1.bn.scale                               backbone.stage.3.stage.3.2.conv2.batch_norm.weight
stage.3.2.1.bn.offset                              backbone.stage.3.stage.3.2.conv2.batch_norm.bias  
stage.3.2.1.bn.mean                                backbone.stage.3.stage.3.2.conv2.batch_norm._mean 
stage.3.2.1.bn.var                                 backbone.stage.3.stage.3.2.conv2.batch_norm._variance
stage.3.3.0.conv.weights                           backbone.stage.3.stage.3.3.conv1.conv.weight      
stage.3.3.0.bn.scale                               backbone.stage.3.stage.3.3.conv1.batch_norm.weight
stage.3.3.0.bn.offset                              backbone.stage.3.stage.3.3.conv1.batch_norm.bias  
stage.3.3.0.bn.mean                                backbone.stage.3.stage.3.3.conv1.batch_norm._mean 
stage.3.3.0.bn.var                                 backbone.stage.3.stage.3.3.conv1.batch_norm._variance
stage.3.3.1.conv.weights                           backbone.stage.3.stage.3.3.conv2.conv.weight      
stage.3.3.1.bn.scale                               backbone.stage.3.stage.3.3.conv2.batch_norm.weight
stage.3.3.1.bn.offset                              backbone.stage.3.stage.3.3.conv2.batch_norm.bias  
stage.3.3.1.bn.mean                                backbone.stage.3.stage.3.3.conv2.batch_norm._mean 
stage.3.3.1.bn.var                                 backbone.stage.3.stage.3.3.conv2.batch_norm._variance
stage.3.4.0.conv.weights                           backbone.stage.3.stage.3.4.conv1.conv.weight      
stage.3.4.0.bn.scale                               backbone.stage.3.stage.3.4.conv1.batch_norm.weight
stage.3.4.0.bn.offset                              backbone.stage.3.stage.3.4.conv1.batch_norm.bias  
stage.3.4.0.bn.mean                                backbone.stage.3.stage.3.4.conv1.batch_norm._mean 
stage.3.4.0.bn.var                                 backbone.stage.3.stage.3.4.conv1.batch_norm._variance
stage.3.4.1.conv.weights                           backbone.stage.3.stage.3.4.conv2.conv.weight      
stage.3.4.1.bn.scale                               backbone.stage.3.stage.3.4.conv2.batch_norm.weight
stage.3.4.1.bn.offset                              backbone.stage.3.stage.3.4.conv2.batch_norm.bias  
stage.3.4.1.bn.mean                                backbone.stage.3.stage.3.4.conv2.batch_norm._mean 
stage.3.4.1.bn.var                                 backbone.stage.3.stage.3.4.conv2.batch_norm._variance
stage.3.5.0.conv.weights                           backbone.stage.3.stage.3.5.conv1.conv.weight      
stage.3.5.0.bn.scale                               backbone.stage.3.stage.3.5.conv1.batch_norm.weight
stage.3.5.0.bn.offset                              backbone.stage.3.stage.3.5.conv1.batch_norm.bias  
stage.3.5.0.bn.mean                                backbone.stage.3.stage.3.5.conv1.batch_norm._mean 
stage.3.5.0.bn.var                                 backbone.stage.3.stage.3.5.conv1.batch_norm._variance
stage.3.5.1.conv.weights                           backbone.stage.3.stage.3.5.conv2.conv.weight      
stage.3.5.1.bn.scale                               backbone.stage.3.stage.3.5.conv2.batch_norm.weight
stage.3.5.1.bn.offset                              backbone.stage.3.stage.3.5.conv2.batch_norm.bias  
stage.3.5.1.bn.mean                                backbone.stage.3.stage.3.5.conv2.batch_norm._mean 
stage.3.5.1.bn.var                                 backbone.stage.3.stage.3.5.conv2.batch_norm._variance
stage.3.6.0.conv.weights                           backbone.stage.3.stage.3.6.conv1.conv.weight      
stage.3.6.0.bn.scale                               backbone.stage.3.stage.3.6.conv1.batch_norm.weight
stage.3.6.0.bn.offset                              backbone.stage.3.stage.3.6.conv1.batch_norm.bias  
stage.3.6.0.bn.mean                                backbone.stage.3.stage.3.6.conv1.batch_norm._mean 
stage.3.6.0.bn.var                                 backbone.stage.3.stage.3.6.conv1.batch_norm._variance
stage.3.6.1.conv.weights                           backbone.stage.3.stage.3.6.conv2.conv.weight      
